STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE, Zoning,PD_NO,SD_NO,PLANAREA
2192 FUNSTON AV,,2205,35,1,1,,,New Construction,,1 FAMILY DWELLING,2/7/2013,RTO,7,8,Market/Octavia
2224 CASTRO ST,,7536,37,2,1,,,Expansion,2 FAMILY DWELLING,2 FAMILY DWELLING,10/15/2013,RH-1,12,11,
2258 15TH ST,,3540,23,3,1,,,Expansion,2 FAMILY DWELLING,APARTMENTS,4/15/2013,RH-2,5,5,Japantown
2260 15TH ST,,3540,23,3,1,1,SEC,Expansion,2 FAMILY DWELLING,APARTMENTS,5/31/2013,NC-1,1,1,
2335 DIAMOND ST,,7551,17,1,1,,,New Construction,,1 FAMILY DWELLING,4/4/2013,RM-3,5,5,
234 09TH ST,,3518,4,1,1,,,Conversion,OFFICE,1 FAMILY DWELLING,6/4/2013,RH-3,2,2,
26 CHENERY ST,,6656,5,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,8/1/2013,RH-1,10,10,Bayview
260 ARBOR ST,,7554,7,1,1,,,New Construction,,1 FAMILY DWELLING,3/8/2013,RH-1,14,7,
273 MAGELLAN AV,,2864,,1,1,,,New Construction,,1 FAMILY DWELLING,9/26/2013,C-3-G,4,6,
28 PRECITA AV,,5518,23,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,2/7/2013,RH-2,7,8,
283 GRANADA AV,,6941,2,1,1,,,Conversion,STORAGE SHED,1 FAMILY DWELLING,7/3/2013,NCD-TARAVAL STREET,15,4,
30 CONRAD ST,,7552,3,1,1,,,New Construction,,1 FAMILY DWELLING,10/15/2013,RH-3,6,8,
31 PARNASSUS AV,,1279,83,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,3/19/2013,RH-2,1,1,
31 PARNASSUS AV,,1279,83,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,1/23/2013,RH-3,6,8,
312 CONNECTICUT ST,,4035,3,1,1,,,Conversion,CHURCH,1 FAMILY DWELLING,10/16/2013,RH-2,7,8,
338 SOUTH VAN NESS AV,,3548,7,3,1,,,Expansion,2 FAMILY DWELLING,APARTMENTS,4/18/2013,NCT-UPPER MARKET,7,8,
34 PLEASANT ST,,221,20,3,1,1,SEC,Expansion,2 FAMILY DWELLING,APARTMENTS,11/6/2013,RM-1,1,1,
351 17TH AV,,1449,11,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,3/28/2013,RTO,6,5,Market/Octavia
371 VERNON ST,,7004,4,2,1,,,Expansion,1 FAMILY DWELLING,1 FAMILY DWELLING,11/26/2013,RH-1,7,8,
38 FLORA ST,,5355,10,1,1,,,New Construction,,1 FAMILY DWELLING,6/10/2013,RCD,9,6,West Soma
3977 25TH ST,,6549,31,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,11/6/2013,RTO,6,5,Market/Octavia
40 ELGIN PK,,3502,76,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,9/20/2013,RH-1,15,4,
42 MIRAMAR AV,,7016,33,1,1,,,New Construction,,1 FAMILY DWELLING,4/12/2013,RH-1,15,4,
42 NEWMAN ST,,5715,1,2,1,,,Conversion,OFFICE,2 FAMILY DWELLING,6/19/2013,RH-2,12,11,Glen Park
4324 ANZA ST,,1510,22,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/2/2013,NC-1,12,11,
436 MORAGA ST,,1933,24,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/10/2013,DTR-Transbay        DTR- Rincon Hill,0,0,
443 VERNON ST,,6995,55,1,1,,,New Construction,,1 FAMILY DWELLING,3/19/2013,RH-1,12,11,
444 IVY ST,,807,22,1,1,,,New Construction,,1 FAMILY DWELLING,7/29/2013,RH-1,15,4,
448 DIAMOND ST,,2768,8,1,1,,,New Construction,,1 FAMILY DWELLING,6/28/2013,RH-1,13,11,
451 34TH AV,,1466,9,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,1/24/2013,RH-2,7,8,
466 SANCHEZ ST,,3581,12,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,7/11/2013,RH-1,7,8,
470 33RD AV,,1464,,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,11/20/2013,RH-1,2,2,
539 FAXON AV,,6934,2,1,1,,,Expansion,,1 FAMILY DWELLING,3/20/2013,RH-1,2,2,
55 DOLORES ST,,3534,,6,1,1,SEC,Expansion,APARTMENTS,APARTMENTS,4/16/2013,UMU,8,9,Eastern Neighborhoods
55 WATERVILLE ST,,5379,29,1,1,,,New Construction,,1 FAMILY DWELLING,5/7/2013,RH-3,3,2,Fishermans Wharf
585 KANSAS ST,,4009,,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,7/24/2013,RH-1,15,4,
590 35TH AV,,1510,25,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,8/19/2013,RH-1(D),14,7,
605 KEARNY ST,,226,7,1,1,,,Conversion,RETAIL SALES,1 FAMILY DWELLING,6/26/2013,RH-2,11,9,
62 BAY VIEW ST,,5343,13,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/25/2013,RH-1,12,9,
626 PARIS ST,,6345,7,1,1,,,New Construction,,1 FAMILY DWELLING,10/7/2013,NC-2,5,2,
639 NATOMA ST,,3727,35,3,1,,,Expansion,2 FAMILY DWELLING,APARTMENTS,6/7/2013,RH-2,13,7,Balboa Park
670 COMMERCIAL ST,,227,32,4,1,,,Expansion,APARTMENTS,APARTMENTS,6/26/2013,RH-2,2,2,
680 DOUGLASS ST,,2802,6,1,1,,,New Construction,,1 FAMILY DWELLING,5/1/2013,RH-2,2,2,
701 43RD AV,,1601,1,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,2/12/2013,RH-1,7,8,
7327 GEARY BL,,1507,38,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/15/2013,RH-1,12,11,
76 DIAMOND ST,,2649,13,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,5/13/2013,RH-1,12,11,
817 YORK ST,,4088,30,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,11/25/2013,RH-2,14,7,
875 43RD AV,,1686,16,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,9/20/2013,RH-2,6,5,
915 FLORIDA ST,,4145,29,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,11/27/2013,RH-2,6,5,
921 POST ST,,302,,4,1,,,Expansion,APARTMENTS,APARTMENTS,4/16/2013,NC-2,9,10,Eastern Neighborhoods
926 SHOTWELL ST,,3641,75,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,4/25/2013,RH-2,14,7,
929 BRODERICK ST,,1152,6,6,1,1,SEC,Expansion,APARTMENTS,APARTMENTS,7/29/2013,NCT-24TH-MISSION,8,9,Eastern Neighborhoods
100 HAMILTON ST,,5931,1,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,2/21/2013,RH-2,14,7,
1044 PRAGUE ST,,6460,8,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,6/28/2013,DTR-Rincon Hill    DTR- South Beach,9,6,Rincon Hill
119 JULES AV,,6987,16,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,3/11/2013,NC-1,13,11,
1190 SILVER AV,,5917,1,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/18/2013,RTO,6,5,Market/Octavia
1201 35TH AV,,1715,1,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,4/10/2013,UMU,8,9,Eastern Neighborhoods
1222 08TH AV,,1743,42,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,7/25/2013,RTO,6,5,Market/Octavia
1222 08TH AV,,1743,42,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,7/25/2013,RM-3,3,3,
1226 DE HARO ST,,4217,2,1,-1,,,,2 FAMILY DWELLING,1 FAMILY DWELLING,3/14/2013,RH-1,1,1,Geary Corridor
1226 FELTON ST,,5937,46,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,8/19/2013,RH-1,11,9,
123 PRECITA AV,,5501,36,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,3/1/2013,NCT-VALENCIA STREET,8,8,Eastern Neighborhoods
1325 41ST AV,,1796,4,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,8/5/2013,RH-2,1,1,Geary Corridor
1335 05TH AV,,1760,9,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,3/5/2013,RM-1,10,10,Bayview
134 ATHENS ST,,5959,6,-1,-1,,,Demolition,1 FAMILY DWELLING,,8/29/2013,RH-1,13,7,
1340 NATOMA ST,,3548,65,-1,-1,,,Demolition,1 FAMILY DWELLING,,9/4/2013,RH-1,13,11,
135 SEVILLE ST,,6448,54,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,9/6/2013,RH-1,13,11,
1364 46TH AV,,1800,,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,1/30/2013,MUR,9,6,Eastern Neighborhoods
1366 36TH AV,,1790,,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,3/27/2013,NCT-3,7,8,Market/Octavia
1371 34TH AV,,1789,14,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,11/8/2013,RH-1,10,10,Bayview
139 PANAMA ST,,7178,13,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,3/18/2013,RH-1,1,2,
14 ARDENWOOD WY,,2541,22,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,6/25/2013,RH-2,7,8,
14 COSTA ST,,5557,8,-1,-1,,,Demolition,1 FAMILY DWELLING,,9/6/2013,RTO,8,8,Market/Octavia
