STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,ADD_TYPE,EXISTUSE,PROPUSE,ACTDATE,ZONING,PD_NO,SD_NO,PLANAREA
924 JAMESTOWN AV,,4971,8,1,-1,,,Illegal Removed,1 FAMILY DWELLING,1 FAMILY DWELLING,11-Jan-12,RH-1,10,10,Bayview
4016 GEARY BL,,1436,18,0,-1,,,Conversion,APARTMENTS,OFFICE,07-Nov-12,NC-3,1,1,
1914 20TH ST,,4071,14,-2,-2,,,Demolition,2 FAMILY DWELLING,,23-May-12,RM-1,9,10,Showplace Sq
626 14TH ST,,3535,2,-2,-2,,,Demolition,2 FAMILY DWELLING,,09-Oct-12,NCT-3,7,8,Market Octavia
632 14TH ST,,3535,2,-2,-2,,,Demolition,2 FAMILY DWELLING,,09-Oct-12,NCT-3,7,8,Market Octavia
108 WEST POINT RD,,4624,9,-2,-2,,,Demolition,2 FAMILY DWELLING,,25-Jan-12,RM-1,10,10,Bayview
311 EUREKA ST,,2750,35,-2,-2,,,Demolition,2 FAMILY DWELLING,,20-Jun-12,RH-2,7,8,
52 WEST POINT RD,,4624,9,-4,-4,,,Demolition,APARTMENTS,,25-Jan-12,RM-1,10,10,Bayview
60 WEST POINT RD,,4624,9,-4,-4,,,Demolition,APARTMENTS,,25-Jan-12,RM-1,10,10,Bayview
84 WEST POINT RD,,4624,9,-4,-4,,,Demolition,APARTMENTS,,25-Jan-12,RM-1,10,10,Bayview
96 WEST POINT RD,,4624,9,-4,-4,,,Demolition,APARTMENTS,,25-Jan-12,RM-1,10,10,Bayview
100 WEST POINT RD,,4624,9,-4,-4,,,Demolition,APARTMENTS,,25-Jan-12,RM-1,10,10,Bayview
58 MIDDLE POINT RD,,4624,4,-4,-4,,,Demolition,APARTMENTS,,26-Jan-12,RM-1,10,10,Bayview
17 WEST POINT RD,,4624,4,-4,-4,,,Demolition,APARTMENTS,,26-Jan-12,RM-1,10,10,Bayview
71 WEST POINT RD,,4624,4,-4,-4,,,Demolition,APARTMENTS,,26-Jan-12,RM-1,10,10,Bayview
51 WEST POINT RD,,4624,4,-6,-6,,,Demolition,APARTMENTS,,26-Jan-12,RM-1,10,10,Bayview
2137 GREENWICH ST,,516,,-6,-6,,,Demolition,APARTMENTS,,22-Aug-12,RH-3,2,2,
30 MIDDLE POINT RD,,4624,4,-7,-7,,,Demolition,APARTMENTS,,25-Jan-12,RM-1,10,10,Bayview
44 MIDDLE POINT RD,,4624,4,-7,-7,,,Demolition,APARTMENTS,,26-Jan-12,RM-1,10,10,Bayview
66 MIDDLE POINT RD,,4624,4,-8,-8,,,Demolition,APARTMENTS,,26-Jan-12,RM-1,10,10,Bayview
82 MIDDLE POINT RD,,4624,4,-8,-8,,,Demolition,APARTMENTS,,26-Jan-12,RM-1,10,10,Bayview
2250 VALLEJO ST,,557,9,2,-9,,,Merger,APARTMENTS,2 FAMILY DWELLING,25-Apr-12,RH-2,2,2,
70 WEST POINT RD,,4624,9,-10,-10,,,Demolition,APARTMENTS,,25-Jan-12,RM-1,10,10,Bayview
80 WEST POINT RD,,4624,9,-10,-10,,,Demolition,APARTMENTS,,25-Jan-12,RM-1,10,10,Bayview
26 WEST POINT RD,,4624,9,-11,-11,,,Demolition,APARTMENTS,,25-Jan-12,RM-1,10,10,Bayview
28 WEST POINT RD,,4624,9,-12,-12,,,Demolition,APARTMENTS,,25-Jan-12,RM-1,10,10,Bayview
