STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE, Zoning,PD_NO,SD_NO,PLANAREA,LAT_LNG,ZIP_CODE,ZILLOW_ID,RENT_ESTIMATE,HOUSE_SIZE
313 MORAGA ST,,2040,1,2,2,,,New Construction,,,1/8/2013,RH-2,10,10,Bayview,"[37.7564538, -122.4661856]",94122,121339313,5500,1553
3500 19TH ST,3500 Nineteeth,3588,12,17,17,,,New Construction,,APARTMENTS,11/26/2013,RH-2,15,4,,"[37.760307, -122.421762]",94110,2108411930,5495,1500
315 MORAGA ST,,2040,1,2,2,,,New Construction,,2 FAMILY DWELLING,1/8/2013,RH-1,10,10,Bayview,"[37.7564029, -122.4661857]",94122,121336978,6495,1942
335 OAK ST,,839,25,8,2,,,Expansion,APARTMENTS,APARTMENTS,5/15/2013,NCD-POLK STREET,3,3,,"[37.774472, -122.424831]",94102,,,
339 OAK ST,,839,25,8,2,,,Expansion,APARTMENTS,APARTMENTS,8/1/2013,RH-1,15,4,,"[37.7745632, -122.4248075]",94102,,,
1022 RHODE ISLAND ST,,4158,2,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/18/2013,RH-3,2,2,,"[37.756774, -122.402115]",94107,15151402,4150,600
1122 PAGE ST,,1219,8,4,1,,,Expansion,APARTMENTS,APARTMENTS,10/28/2013,RH-3,2,2,,"[37.772165, -122.439365]",94117,2110286376,4500,900
118 BRODERICK ST,,1237,23,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,2/6/2013,RH-1,12,11,,"[37.7717357, -122.438558]",94117,15086783,6000,2200
1267 BAY ST,,473,,3,1,,,Expansion,2 FAMILY DWELLING,APARTMENTS,11/19/2013,NC-1,7,8,,"[37.8036107, -122.4278362]",94123,2099512264,,1500
134 ORD ST,,2657,4,1,1,,,New Construction,,1 FAMILY DWELLING,5/3/2013,RH-2,7,8,,"[37.7615461, -122.440349]",94114,15128498,9000,4041
1370 35TH AV,,1789,22,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,6/14/2013,RH-1,12,10,Visitacion Valley,"[37.761547, -122.493853]",94122,15103607,4500,2380
1391 08TH AV,,1763,,18,1,,,Expansion,APARTMENTS,APARTMENTS,9/16/2013,RH-2 ,1,1,,"[37.7749295, -122.4194155]",,,,
14 COSTA ST,,5557,8,1,1,,,New Construction,,1 FAMILY DWELLING,2/11/2013,RH-2,10,10,Bayview,"[37.7447848, -122.4061606]",94110,15160867,6820,776
1443 CHURCH ST,,6566,,2,1,,,Expansion,2 FAMILY DWELLING,2 FAMILY DWELLING,3/21/2013,NC-1,7,8,,"[37.7479129, -122.426755]",94131,15181818,6250,1336
152 ELSIE ST,,5618,20,1,1,,,New Construction,,1 FAMILY DWELLING,9/20/2013,RH-2,10,10,Bayview,"[37.7420345, -122.4184152]",94110,2138402574,5300,
1536 FRANCISCO ST,,471,,3,1,1,SEC,Expansion,2 FAMILY DWELLING,APARTMENTS,10/8/2013,RH-2,10,10,Bayview,"[37.80272799999999, -122.430575]",94123,15070358,8500,3690
157 APOLLO ST,,5405,23,1,1,,,New Construction,,1 FAMILY DWELLING,7/22/2013,RH-1,7,8,,"[37.7307569, -122.398549]",94124,122246168,4500,2629
1650 CHESTNUT ST,,482,14,2,1,,,Expansion,2 FAMILY DWELLING,2 FAMILY DWELLING,3/21/2013,RTO,8,8,Market/Octavia,"[37.80182, -122.430609]",94123,15070683,10959,1575
1671 CHURCH ST,,6618,23,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,1/4/2013,RM-3,5,5,A-2,"[37.7441251, -122.4264525]",94131,122246027,5600,1304
169 DELTA ST,,6202,46,1,1,,,New Construction,,1 FAMILY DWELLING,8/30/2013,NCT-3,6,8,Market/Octavia,"[37.7162001, -122.4080767]",94134,123598064,4500,3250
1719 PALOU AV,,5328,53,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,3/28/2013,RH-2,13,11,,"[37.735068, -122.393364]",94124,,,
1721 CHURCH ST,,6633,20,1,1,1,SEC,Conversion,STORAGE SHED,1 FAMILY DWELLING,11/13/2013,NCT-Mission,8,9,Eastern Neighborhoods,"[37.7433539, -122.426356]",94131,15183418,4950,1500
1765 QUESADA AV,,5338,56,2,1,,,Expansion,2 FAMILY DWELLING,2 FAMILY DWELLING,3/13/2013,RH-1,15,4,,"[37.733782, -122.392763]",94124,15157141,4399,
1786 MCKINNON AV,,5297,23,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/11/2013,NC-1,3,3,,"[37.738023, -122.392509]",94124,15156042,4099,1250
188 BROAD ST,,7107,23,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,7/1/2013,RH-2,2,2,,"[37.713424, -122.458623]",94112,15194534,4500,1634
2082 PINE ST,,651,10,3,1,1,SEC,Expansion,2 FAMILY DWELLING,APARTMENTS,4/10/2013,RH-1,10,10,Bayview,"[37.788631, -122.43007]",94115,15075090,12000,5689
2192 FUNSTON AV,,2205,35,1,1,,,New Construction,,1 FAMILY DWELLING,2/7/2013,RTO,7,8,Market/Octavia,"[37.747295, -122.469108]",94116,119684963,7500,3600
