APPL_NO,FORM,STRDADDRESS,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE,ZONING,PD_NO,SD_NO,LAT_LNG,ZIP_CODE,ZILLOW_ID,RENT_ESTIMATE,HOUSE_SIZE
200902232589,3,263 DORLAND ST,3580,035,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RM-1,7,8,"[37.7619643, -122.4297694]",94114,115828550,4900,975
201005102109,8,1226 10TH AV,1741,040,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,14,5,"[37.765319, -122.467147]",94122,15102244,5400,2802
201001134660,3,3131 MISSION ST,5501,048,1,-1,,,CC,2 FAMILY DWELLING,CLINICS-MEDIC/DENTAL,,NC-3,11,9,"[37.7471834, -122.4187076]",94110,15159647,6000,2160
201006023623,6,1207 THOMAS AV,4807,026,-1,-1,,,D,1 FAMILY DWELLING,,,PDR-2,10,10,"[37.7261837, -122.3841503]",94124,15154127,3995,1120
200504049078,6,791 SAN BRUNO AV,4075,017,-1,-1,,,D,1 FAMILY DWELLING,,,RH-2,9,10,"[37.759645, -122.404673]",94107,15149979,9833,3746
200710185819,6,636 PLYMOUTH AV,7067,014,-1,-1,,,D,1 FAMILY DWELLING,,,RH-1,13,11,"[37.716379, -122.4560764]",94112,,,
200711289152,6,248 OCEAN AV,3211,009,-1,-1,,,D,1 FAMILY DWELLING,,,NC-1,12,11,"[37.723444, -122.442083]",94112,15141353,4450,970
200601242859,6,239 MINERVA ST,7092,070,-1,-1,,,D,1 FAMILY DWELLING,,,RH-1,13,11,"[37.715496, -122.460277]",94112,111922538,4250,2882
201005202877,6,1269 LOMBARD ST,0501,023,-1,-1,,,D,1 FAMILY DWELLING,,,RH-2,3,2,"[37.801354, -122.422357]",94109,15070928,9000,1599
200907203022,6,40 EDGEHILL WY,2923,008,-1,-1,,,D,1 FAMILY DWELLING,,,RH-1(D),14,7,"[37.7429387, -122.4610481]",94127,15133965,11975,6433
200910280081,6,580 DIAMOND ST,2772,016,-1,-1,,,D,1 FAMILY DWELLING,,,RH-2,7,8,"[37.753093, -122.43683]",94114,116156884,8650,2165
201007136495,6,448 DIAMOND ST,2768,008,-1,-1,,,D,1 FAMILY DWELLING,,,RH-2,7,8,"[37.755172, -122.437027]",94114,15130716,11900,3462
201109154672,6,906 CORTLAND AV,5683,012,-1,-1,,,D,1 FAMILY DWELLING,,,NC-2,11,9,"[37.73877299999999, -122.413614]",94110,,,
201012287512,6,4209 24TH ST,6505,047,-1,-1,,,D,1 FAMILY DWELLING,,,RH-2,7,8,"[37.7508989, -122.436724]",94114,15180139,9316,3540
200506296360,6,1919 22ND ST,4160,001,-1,-1,,,D,1 FAMILY DWELLING,,,RH-3,9,10,"[37.757098, -122.400204]",94107,111934187,7300,2147
201105105715,8,3400 LAGUNA ST,0471,003,168,-2,,,M,APARTMENTS,APARTMENTS,,RM-1,2,2,"[37.802903, -122.431016]",94123,,,
201107150336,8,60 THERESA ST,6799,014,1,-2,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11,"[37.728407, -122.4335995]",94112,15186800,4700,2251
201104184265,3,2509 BUSH ST,1051,032,0,-2,,,CC,2 FAMILY DWELLING,DAY CARE HOME GT 12,,NC-3,5,5,"[37.7860642, -122.4389725]",94115,15083181,12685,3400
200710165567,6,1250 LEAVENWORTH ST,0220,027,-2,-2,,,D,2 FAMILY DWELLING,,,RM-3,3,3,"[37.7927874, -122.4158296]",94109,119684711,9000,1822
9605515,6,1575 20TH AV,1866,015,-2,-2,,,D,2 FAMILY DWELLING,,,RH-2,15,4,"[37.75839, -122.478168]",94122,15106729,5500,2649
200901301159,8,2250 JACKSON ST,589,008,2,-3,,,M,APARTMENTS,2 FAMILY DWELLING,,RH-2,2,2,"[37.79303400000001, -122.432161]",94115,,,
200912233742,3,35 WOODWARD ST,3532,064,52,-7,,,U,APARTMENTS,APARTMENTS,,RM-1,8,6,"[37.76934, -122.420692]",94103,,,
201011305796,6,80 JULIAN AV,3547,027,-14,-14,,,D,APARTMENTS,,,Valencia St NCT,8,6,"[37.7669948, -122.4213828]",94103,125307987,,3608
