STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE, Zoning,PD_NO,SD_NO,PLANAREA,LAT_LNG,ZIP_CODE
474 NATOMA,Natoma Court Bridge Housing,3725,101,60,60,60,VLI,New Construction,,APARTMENTS,,C-3-S,4,6,South of Market,"[37.7805722, -122.4074479]",94103
401 GROVE ST,300 Ivy,808,36,63,63,9,MOD,New Construction,,,,RH-2,15,4,,"[37.777492, -122.42356]",94102
1591 PACIFIC AV,Pacific Terrace,596,24,41,41,0,,New Construction,,APARTMENTS,6/19/2013,RH-2,9,10,Eastern Neighborhoods,"[37.7949832, -122.4212511]",94109
1301 DIVISADERO ST,,1101,48,21,21,,,New Construction,VACANT LOT,APARTMENTS,8/19/2013,RM-1,2,2,,"[37.7815238, -122.4391614]",94115
2652 HARRISON ST,,3639,2,20,20,0,,New Construction,,APARTMENTS,10/18/2013,RH-3,3,2,,"[37.755126, -122.4124932]",94110
1816 EDDY ST,,1127,64,19,19,,,Conversion,VACANT LOT,APARTMENTS,5/15/2013,RC-4,4,3,Van Ness Corridor,"[37.780968, -122.437692]",94115
616 20TH ST,,4058,8,16,16,2,MOD,New Construction,,APARTMENTS,11/21/2013,RH-2,14,5,,"[37.760768, -122.387975]",94107
2829 CALIFORNIA ST,,1028,28,13,13,2,MOD,New Construction,,APARTMENTS,2/6/2013,RH-1,12,11,,"[37.7876995, -122.4409552]",94115
537 NATOMA ST,,3726,47,13,13,1,MOD,New Construction,,APARTMENTS,4/15/2013,RH-2,7,8,,"[37.779383, -122.408459]",94103
61 WEST POINT RD,,4624,4,13,13,13,VLI,New Construction,,APARTMENTS,4/9/2013,UMU,8,9,Eastern Neighborhoods,"[37.7362508, -122.3808288]",94124
200 DOLORES ST,,3557,63,10,10,2,MOD,New Construction,,APARTMENTS,9/13/2013,UMU,8,9,Eastern Neighborhoods,"[37.766085, -122.4269081]",94103
3135 24TH ST,,6520,36,9,9,,,Conversion,AUTO REPAIRS,APARTMENTS,9/26/2013,UMU,8,9,Eastern Neighborhoods,"[37.75224619999999, -122.4147536]",94110
1945 HYDE ST,,123,2,7,7,0,,Conversion,PRKNG GARAGE/PUBLIC,APARTMENTS,11/26/2013,RM-1,12,11,,"[37.7988349, -122.4192567]",94109
3575 KEITH ST,,5476,17,7,7,,,New Construction,,APARTMENTS,7/15/2013,RH-2,15,4,,"[37.718578, -122.398596]",94124
248 OCEAN AV,,3211,9,5,5,,,Conversion,VACANT LOT,APARTMENTS,8/1/2013,RH-1,15,4,,"[37.723444, -122.442083]",94112
1268 LOMBARD ST,,500,15,4,4,,,New Construction,,APARTMENTS,10/11/2013,RH-2,15,4,,"[37.8018586, -122.4224646]",94109
2130 POST ST,,681,39,71,4,,,Expansion,APARTMENTS,APARTMENTS,9/5/2013,RH-2,15,4,,"[37.7849153, -122.4369521]",94115
333 RANDOLPH ST,,7118,49,4,4,,,Conversion,OFFICE,ARTIST LIVE/WORK,10/17/2013,RH-1,13,7,,"[37.714065, -122.465747]",94132
960 HARRISON ST,,3753,21,4,4,,,Conversion,OFFICE,APARTMENTS,6/4/2013,RH-2,14,5,,"[37.7781189, -122.403403]",94107
1340 NATOMA ST,,3548,65,3,3,,,Conversion,VACANT LOT,APARTMENTS,9/3/2013,RH-1 (D),14,7,,"[37.7676706, -122.4187104]",94103
1340 NATOMA ST,,3548,65,3,3,,,New Construction,,APARTMENTS,8/28/2013,RH-1,11,9,,"[37.7676706, -122.4187104]",94103
1456 CHESTNUT ST,,480,,3,3,,,New Construction,,APARTMENTS,3/29/2013,RH-1,11,9,,"[37.802233, -122.427363]",94123
210 17TH AV,,1417,31,3,3,,,New Construction,,APARTMENTS,2/7/2013,C-3-G,4,6,Mid-Market,"[37.7840447, -122.4764189]",94121
547 GROVE ST,,807,22,3,3,,,New Construction,,APARTMENTS,1/31/2013,RH-1,13,11,,"[37.7774934, -122.4256321]",94102
995 SUTTER ST,,300,12,3,3,,,Expansion,,APARTMENTS,4/24/2013,RH-2,7,8,,"[37.78814029999999, -122.4166185]",94109
999 SUTTER ST,,300,12,3,3,,,New Construction,,APARTMENTS,5/1/2013,RH-3,2,2,,"[37.7880317, -122.416661]",94109
1001 CALIFORNIA ST,,254,80,14,2,,,Conversion,FOOD/BEVERAGE HNDLNG,APARTMENTS,1/8/2013,RH-3,2,2,,"[37.7916283, -122.4110601]",94108
1654 CHESTNUT ST,,482,14,2,2,,,New Construction,,2 FAMILY DWELLING,3/29/2013,NCD-POLK STREET,3,3,,"[37.8015531, -122.4306058]",94123
2135 GREENWICH ST,,516,,2,2,,,New Construction,,2 FAMILY DWELLING,3/21/2013,RH-1,13,7,,"[37.798826, -122.434803]",94123
2239 TARAVAL ST,,2393,42,2,2,,,Conversion,RETAIL SALES,2 FAMILY DWELLING,10/23/2013,RH-1,15,4,,"[37.7421724, -122.4902982]",94116
226 CABRILLO ST,,1641,26,2,2,,,New Construction,,1 FAMILY DWELLING,3/8/2013,RH-1,13,11,,"[37.775749, -122.46126]",94118
230 LILY ST,,839,25,8,2,,,Expansion,APARTMENTS,APARTMENTS,5/15/2013,RH-1,11,9,,"[37.7743262, -122.4248052]",94102
236 LILY ST,,839,25,8,2,,,Expansion,APARTMENTS,APARTMENTS,8/1/2013,RH-2,10,10,Bayview,"[37.774332, -122.4248192]",94102
309 MORAGA ST,,2040,1,2,2,,,New Construction,,,1/8/2013,RH-3,2,2,,"[37.7564237, -122.4660643]",94122
313 MORAGA ST,,2040,1,2,2,,,New Construction,,,1/8/2013,RH-2,10,10,Bayview,"[37.7564538, -122.4661856]",94122
3500 19TH ST,3500 Nineteeth,3588,12,17,17,,,New Construction,,APARTMENTS,11/26/2013,RH-2,15,4,,"[37.760307, -122.421762]",94110
315 MORAGA ST,,2040,1,2,2,,,New Construction,,2 FAMILY DWELLING,1/8/2013,RH-1,10,10,Bayview,"[37.7564029, -122.4661857]",94122
335 OAK ST,,839,25,8,2,,,Expansion,APARTMENTS,APARTMENTS,5/15/2013,NCD-POLK STREET,3,3,,"[37.774472, -122.424831]",94102
339 OAK ST,,839,25,8,2,,,Expansion,APARTMENTS,APARTMENTS,8/1/2013,RH-1,15,4,,"[37.7745632, -122.4248075]",94102
1022 RHODE ISLAND ST,,4158,2,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/18/2013,RH-3,2,2,,"[37.756774, -122.402115]",94107
1122 PAGE ST,,1219,8,4,1,,,Expansion,APARTMENTS,APARTMENTS,10/28/2013,RH-3,2,2,,"[37.772165, -122.439365]",94117
118 BRODERICK ST,,1237,23,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,2/6/2013,RH-1,12,11,,"[37.7717357, -122.438558]",94117
1267 BAY ST,,473,,3,1,,,Expansion,2 FAMILY DWELLING,APARTMENTS,11/19/2013,NC-1,7,8,,"[37.8036107, -122.4278362]",94123
134 ORD ST,,2657,4,1,1,,,New Construction,,1 FAMILY DWELLING,5/3/2013,RH-2,7,8,,"[37.7615461, -122.440349]",94114
1370 35TH AV,,1789,22,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,6/14/2013,RH-1,12,10,Visitacion Valley,"[37.761547, -122.493853]",94122
1391 08TH AV,,1763,,18,1,,,Expansion,APARTMENTS,APARTMENTS,9/16/2013,RH-2 ,1,1,,"[37.7749295, -122.4194155]",
14 COSTA ST,,5557,8,1,1,,,New Construction,,1 FAMILY DWELLING,2/11/2013,RH-2,10,10,Bayview,"[37.7447848, -122.4061606]",94110
1443 CHURCH ST,,6566,,2,1,,,Expansion,2 FAMILY DWELLING,2 FAMILY DWELLING,3/21/2013,NC-1,7,8,,"[37.7479129, -122.426755]",94131
152 ELSIE ST,,5618,20,1,1,,,New Construction,,1 FAMILY DWELLING,9/20/2013,RH-2,10,10,Bayview,"[37.7420345, -122.4184152]",94110
1536 FRANCISCO ST,,471,,3,1,1,SEC,Expansion,2 FAMILY DWELLING,APARTMENTS,10/8/2013,RH-2,10,10,Bayview,"[37.80272799999999, -122.430575]",94123
157 APOLLO ST,,5405,23,1,1,,,New Construction,,1 FAMILY DWELLING,7/22/2013,RH-1,7,8,,"[37.7307569, -122.398549]",94124
1650 CHESTNUT ST,,482,14,2,1,,,Expansion,2 FAMILY DWELLING,2 FAMILY DWELLING,3/21/2013,RTO,8,8,Market/Octavia,"[37.80182, -122.430609]",94123
1671 CHURCH ST,,6618,23,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,1/4/2013,RM-3,5,5,A-2,"[37.7441251, -122.4264525]",94131
169 DELTA ST,,6202,46,1,1,,,New Construction,,1 FAMILY DWELLING,8/30/2013,NCT-3,6,8,Market/Octavia,"[37.7162001, -122.4080767]",94134
1719 PALOU AV,,5328,53,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,3/28/2013,RH-2,13,11,,"[37.735068, -122.393364]",94124
1721 CHURCH ST,,6633,20,1,1,1,SEC,Conversion,STORAGE SHED,1 FAMILY DWELLING,11/13/2013,NCT-Mission,8,9,Eastern Neighborhoods,"[37.7433539, -122.426356]",94131
1765 QUESADA AV,,5338,56,2,1,,,Expansion,2 FAMILY DWELLING,2 FAMILY DWELLING,3/13/2013,RH-1,15,4,,"[37.733782, -122.392763]",94124
1786 MCKINNON AV,,5297,23,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/11/2013,NC-1,3,3,,"[37.738023, -122.392509]",94124
188 BROAD ST,,7107,23,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,7/1/2013,RH-2,2,2,,"[37.713424, -122.458623]",94112
2082 PINE ST,,651,10,3,1,1,SEC,Expansion,2 FAMILY DWELLING,APARTMENTS,4/10/2013,RH-1,10,10,Bayview,"[37.788631, -122.43007]",94115
2192 FUNSTON AV,,2205,35,1,1,,,New Construction,,1 FAMILY DWELLING,2/7/2013,RTO,7,8,Market/Octavia,"[37.747295, -122.469108]",94116
2224 CASTRO ST,,7536,37,2,1,,,Expansion,2 FAMILY DWELLING,2 FAMILY DWELLING,10/15/2013,RH-1,12,11,,"[37.743614, -122.433628]",94131
2258 15TH ST,,3540,23,3,1,,,Expansion,2 FAMILY DWELLING,APARTMENTS,4/15/2013,RH-2,5,5,Japantown,"[37.766045, -122.434532]",94114
2260 15TH ST,,3540,23,3,1,1,SEC,Expansion,2 FAMILY DWELLING,APARTMENTS,5/31/2013,NC-1,1,1,,"[37.7659025, -122.4345822]",94114
2335 DIAMOND ST,,7551,17,1,1,,,New Construction,,1 FAMILY DWELLING,4/4/2013,RM-3,5,5,,"[37.738127, -122.436723]",94131
234 09TH ST,,3518,4,1,1,,,Conversion,OFFICE,1 FAMILY DWELLING,6/4/2013,RH-3,2,2,,"[37.7743139, -122.412756]",94103
26 CHENERY ST,,6656,5,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,8/1/2013,RH-1,10,10,Bayview,"[37.741454, -122.426048]",94131
260 ARBOR ST,,7554,7,1,1,,,New Construction,,1 FAMILY DWELLING,3/8/2013,RH-1,14,7,,"[37.73784000000001, -122.4382453]",94131
273 MAGELLAN AV,,2864,,1,1,,,New Construction,,1 FAMILY DWELLING,9/26/2013,C-3-G,4,6,,"[37.746607, -122.460992]",94116
28 PRECITA AV,,5518,23,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,2/7/2013,RH-2,7,8,,"[37.746472, -122.418489]",94110
283 GRANADA AV,,6941,2,1,1,,,Conversion,STORAGE SHED,1 FAMILY DWELLING,7/3/2013,NCD-TARAVAL STREET,15,4,,"[37.7237154, -122.4572884]",94112
30 CONRAD ST,,7552,3,1,1,,,New Construction,,1 FAMILY DWELLING,10/15/2013,RH-3,6,8,,"[37.737845, -122.436477]",94131
31 PARNASSUS AV,,1279,83,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,3/19/2013,RH-2,1,1,,"[37.764826, -122.448244]",94117
31 PARNASSUS AV,,1279,83,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,1/23/2013,RH-3,6,8,,"[37.764826, -122.448244]",94117
312 CONNECTICUT ST,,4035,3,1,1,,,Conversion,CHURCH,1 FAMILY DWELLING,10/16/2013,RH-2,7,8,,"[37.7622697, -122.3978033]",94107
338 SOUTH VAN NESS AV,,3548,7,3,1,,,Expansion,2 FAMILY DWELLING,APARTMENTS,4/18/2013,NCT-UPPER MARKET,7,8,,"[37.7677143, -122.4179812]",94103
34 PLEASANT ST,,221,20,3,1,1,SEC,Expansion,2 FAMILY DWELLING,APARTMENTS,11/6/2013,RM-1,1,1,,"[37.793043, -122.413384]",94108
351 17TH AV,,1449,11,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,3/28/2013,RTO,6,5,Market/Octavia,"[37.781428, -122.476565]",94121
371 VERNON ST,,7004,4,2,1,,,Expansion,1 FAMILY DWELLING,1 FAMILY DWELLING,11/26/2013,RH-1,7,8,,"[37.719168, -122.468326]",94132
38 FLORA ST,,5355,10,1,1,,,New Construction,,1 FAMILY DWELLING,6/10/2013,RCD,9,6,West Soma,"[37.7320096, -122.3943267]",94124
3977 25TH ST,,6549,31,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,11/6/2013,RTO,6,5,Market/Octavia,"[37.74975200000001, -122.428939]",94114
40 ELGIN PK,,3502,76,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,9/20/2013,RH-1,15,4,,"[37.7707964, -122.4234753]",94103
42 MIRAMAR AV,,7016,33,1,1,,,New Construction,,1 FAMILY DWELLING,4/12/2013,RH-1,15,4,,"[37.71902, -122.457853]",94112
42 NEWMAN ST,,5715,1,2,1,,,Conversion,OFFICE,2 FAMILY DWELLING,6/19/2013,RH-2,12,11,Glen Park,"[37.737613, -122.41815]",94110
4324 ANZA ST,,1510,22,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/2/2013,NC-1,12,11,,"[37.777952, -122.49475]",94121
436 MORAGA ST,,1933,24,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/10/2013,DTR-Transbay        DTR- Rincon Hill,0,0,,"[37.756753, -122.467588]",94122
443 VERNON ST,,6995,55,1,1,,,New Construction,,1 FAMILY DWELLING,3/19/2013,RH-1,12,11,,"[37.720466, -122.468338]",94132
444 IVY ST,,807,22,1,1,,,New Construction,,1 FAMILY DWELLING,7/29/2013,RH-1,15,4,,"[37.7771143, -122.4255623]",94102
448 DIAMOND ST,,2768,8,1,1,,,New Construction,,1 FAMILY DWELLING,6/28/2013,RH-1,13,11,,"[37.755172, -122.437027]",94114
451 34TH AV,,1466,9,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,1/24/2013,RH-2,7,8,,"[37.780591, -122.494777]",94121
466 SANCHEZ ST,,3581,12,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,7/11/2013,RH-1,7,8,,"[37.761677, -122.43094]",94114
470 33RD AV,,1464,,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,11/20/2013,RH-1,2,2,,"[37.780327, -122.493024]",94121
539 FAXON AV,,6934,2,1,1,,,Expansion,,1 FAMILY DWELLING,3/20/2013,RH-1,2,2,,"[37.724314, -122.460549]",94112
55 DOLORES ST,,3534,,6,1,1,SEC,Expansion,APARTMENTS,APARTMENTS,4/16/2013,UMU,8,9,Eastern Neighborhoods,"[37.7684009, -122.4265406]",94103
55 WATERVILLE ST,,5379,29,1,1,,,New Construction,,1 FAMILY DWELLING,5/7/2013,RH-3,3,2,Fishermans Wharf,"[37.735339, -122.402495]",94124
585 KANSAS ST,,4009,,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,7/24/2013,RH-1,15,4,,"[37.7623774, -122.403166]",94107
590 35TH AV,,1510,25,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,8/19/2013,RH-1(D),14,7,,"[37.777906, -122.495041]",94121
605 KEARNY ST,,226,7,1,1,,,Conversion,RETAIL SALES,1 FAMILY DWELLING,6/26/2013,RH-2,11,9,,"[37.7937208, -122.4048248]",94108
62 BAY VIEW ST,,5343,13,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/25/2013,RH-1,12,9,,"[37.732669, -122.3934848]",94124
626 PARIS ST,,6345,7,1,1,,,New Construction,,1 FAMILY DWELLING,10/7/2013,NC-2,5,2,,"[37.71893499999999, -122.437354]",94112
639 NATOMA ST,,3727,35,3,1,,,Expansion,2 FAMILY DWELLING,APARTMENTS,6/7/2013,RH-2,13,7,Balboa Park,"[37.7775729, -122.410726]",94103
670 COMMERCIAL ST,,227,32,4,1,,,Expansion,APARTMENTS,APARTMENTS,6/26/2013,RH-2,2,2,,"[37.7942078, -122.4042333]",94111
680 DOUGLASS ST,,2802,6,1,1,,,New Construction,,1 FAMILY DWELLING,5/1/2013,RH-2,2,2,,"[37.752942, -122.438935]",94114
701 43RD AV,,1601,1,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,2/12/2013,RH-1,7,8,,"[37.775263, -122.504019]",94121
7327 GEARY BL,,1507,38,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,10/15/2013,RH-1,12,11,,"[37.779174, -122.498104]",94121
76 DIAMOND ST,,2649,13,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,5/13/2013,RH-1,12,11,,"[37.76113, -122.437554]",94114
817 YORK ST,,4088,30,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,11/25/2013,RH-2,14,7,,"[37.758591, -122.408463]",94110
875 43RD AV,,1686,16,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,9/20/2013,RH-2,6,5,,"[37.77218, -122.503838]",94121
915 FLORIDA ST,,4145,29,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,11/27/2013,RH-2,6,5,,"[37.7568569, -122.410183]",94110
921 POST ST,,302,,4,1,,,Expansion,APARTMENTS,APARTMENTS,4/16/2013,NC-2,9,10,Eastern Neighborhoods,"[37.787026, -122.4170743]",94109
926 SHOTWELL ST,,3641,75,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,4/25/2013,RH-2,14,7,,"[37.7531139, -122.415545]",94110
929 BRODERICK ST,,1152,6,6,1,1,SEC,Expansion,APARTMENTS,APARTMENTS,7/29/2013,NCT-24TH-MISSION,8,9,Eastern Neighborhoods,"[37.77886600000001, -122.440652]",94115
100 HAMILTON ST,,5931,1,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,2/21/2013,RH-2,14,7,,"[37.7294859, -122.411158]",94134
1044 PRAGUE ST,,6460,8,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,6/28/2013,DTR-Rincon Hill    DTR- South Beach,9,6,Rincon Hill,"[37.710361, -122.437588]",94112
119 JULES AV,,6987,16,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,3/11/2013,NC-1,13,11,,"[37.7204059, -122.461545]",94112
1190 SILVER AV,,5917,1,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/18/2013,RTO,6,5,Market/Octavia,"[37.7300764, -122.4124716]",94134
1201 35TH AV,,1715,1,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,4/10/2013,UMU,8,9,Eastern Neighborhoods,"[37.7644953, -122.4946076]",94122
1222 08TH AV,,1743,42,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,7/25/2013,RTO,6,5,Market/Octavia,"[37.7749295, -122.4194155]",
1222 08TH AV,,1743,42,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,7/25/2013,RM-3,3,3,,"[37.7749295, -122.4194155]",
1226 DE HARO ST,,4217,2,1,-1,,,,2 FAMILY DWELLING,1 FAMILY DWELLING,3/14/2013,RH-1,1,1,Geary Corridor,"[37.7542036, -122.4006122]",94107
1226 FELTON ST,,5937,46,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,8/19/2013,RH-1,11,9,,"[37.7270309, -122.416965]",94134
123 PRECITA AV,,5501,36,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,3/1/2013,NCT-VALENCIA STREET,8,8,Eastern Neighborhoods,"[37.7470783, -122.4178506]",94110
1325 41ST AV,,1796,4,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,8/5/2013,RH-2,1,1,Geary Corridor,"[37.761952, -122.500988]",94122
1335 05TH AV,,1760,9,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,3/5/2013,RM-1,10,10,Bayview,"[37.763521, -122.462311]",94122
134 ATHENS ST,,5959,6,-1,-1,,,Demolition,1 FAMILY DWELLING,,8/29/2013,RH-1,13,7,,"[37.72586, -122.425594]",94112
1340 NATOMA ST,,3548,65,-1,-1,,,Demolition,1 FAMILY DWELLING,,9/4/2013,RH-1,13,11,,"[37.7676706, -122.4187104]",94103
135 SEVILLE ST,,6448,54,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,9/6/2013,RH-1,13,11,,"[37.711228, -122.436408]",94112
1364 46TH AV,,1800,,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,1/30/2013,MUR,9,6,Eastern Neighborhoods,"[37.7611218, -122.505809]",94122
1366 36TH AV,,1790,,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,3/27/2013,NCT-3,7,8,Market/Octavia,"[37.761532, -122.494929]",94122
1371 34TH AV,,1789,14,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,11/8/2013,RH-1,10,10,Bayview,"[37.76156599999999, -122.493438]",94122
139 PANAMA ST,,7178,13,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,3/18/2013,RH-1,1,2,,"[37.7094723, -122.4686285]",94132
14 ARDENWOOD WY,,2541,22,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,6/25/2013,RH-2,7,8,,"[37.735589, -122.472875]",94132
14 COSTA ST,,5557,8,-1,-1,,,Demolition,1 FAMILY DWELLING,,9/6/2013,RTO,8,8,Market/Octavia,"[37.7447848, -122.4061606]",94110
141 GRANADA AV,,6983,11,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,2/4/2013,RH-1,12,11,,"[37.720833, -122.457475]",94112
1456 CHESTNUT ST,,480,,-1,-1,,,Demolition,1 FAMILY DWELLING,,4/2/2013,RH-2,11,9,,"[37.802233, -122.427363]",94123
149 PANAMA ST,,7178,12,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,9/12/2013,NCT-HAYES,5,5,Market/Octavia,"[37.7094614, -122.4687222]",94132
1496 38TH AV,,1816,24,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,7/26/2013,RH-3,5,5,,"[37.75909499999999, -122.496947]",94122
15 BRUCE AV,,6977,14,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/18/2013,RH-1,12,10,Visitacion Valley,"[37.721879, -122.451539]",94112
1531 THOMAS AV,,5361,28,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,6/10/2013,RH-1,13,11,,"[37.7294709, -122.390166]",94124
1554 SHAFTER AV,,5341,,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,2/22/2013,RH-2,11,9,,"[37.730768, -122.389717]",94124
1618 35TH AV,,1909,32,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,8/27/2013,RH-1,14,7,,"[37.756814, -122.493522]",94122
167 ELLINGTON AV,,7043,,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,6/21/2013,RH-1,10,10,Bayview,"[37.71422800000001, -122.443807]",94112
168 CLIPPER ST,,6549,21,-1,-1,,,Demolition,1 FAMILY DWELLING,,11/4/2013,RH-2,1,1,,"[37.749439, -122.428908]",94114
170 10TH AV,,1369,21,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,1/30/2013,RH-2,14,7,,"[37.785185, -122.468551]",94118
18 VALLEY ST,,6616,10,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,1/30/2013,RH-2,7,8,,"[37.744985, -122.422751]",94110
180 GUERRERO ST,,3534,11,4,-1,,,,APARTMENTS,APARTMENTS,1/23/2013,RH-1,13,11,,"[37.7683779, -122.4247363]",94103
1886 32ND AV,,2068,28,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,4/5/2013,RTO,5,5,Market/Octavia,"[37.7520529, -122.490048]",94122
